date,desktop,mobile,total
2024-11-12,157,654,811
2024-11-13,454,1201,1655
2024-11-14,3753,14017,17770
2024-11-15,2353,13728,16081
2024-11-16,760,4381,5141
2024-11-17,770,3619,4389
2024-11-18,1100,2731,3831
2024-11-19,963,2533,3496
2024-11-20,1100,2972,4072
2024-11-21,1147,2580,3727
2024-11-22,1504,3759,5263
2024-11-23,1038,5662,6700
2024-11-24,1308,6506,7814
2024-11-25,2073,5315,7388
2024-11-26,2172,6904,9076
2024-11-27,2098,6242,8340
2024-11-28,2898,9836,12734
2024-11-29,1768,6605,8373
2024-11-30,1200,6450,7650
2024-12-01,1293,5784,7077
2024-12-02,1854,6367,8221
2024-12-03,1583,3976,5559
2024-12-04,1596,3622,5218
2024-12-05,1862,4427,6289
2024-12-06,1776,4655,6431
2024-12-07,1404,5838,7242
2024-12-08,1393,6215,7608
2024-12-09,2442,4997,7439
2024-12-10,2329,4415,6744
2024-12-11,2529,4952,7481
2024-12-12,2589,5268,7857
2024-12-13,2774,6433,9207
2024-12-14,3115,7905,11020
2024-12-15,3629,7050,10679
2024-12-16,5205,8658,13863
2024-12-17,3766,7229,10995
2024-12-18,5096,9328,14424
2024-12-19,5594,12250,17844
2024-12-20,4721,11354,16075
2024-12-21,4459,11266,15725
2024-12-22,5058,17053,22111
2024-12-23,5774,16911,22685
2024-12-24,4589,19751,24340
2024-12-25,5407,25771,31178
2024-12-26,8100,30535,38635
2024-12-27,9391,32578,41969
2024-12-28,9615,35270,44885
2024-12-29,8448,30351,38799
2024-12-30,9461,29595,39056
2024-12-31,10387,41634,52021
2025-01-01,10870,44442,55312
2025-01-02,12931,36967,49898
2025-01-03,10586,30039,40625
2025-01-04,9306,33279,42585
2025-01-05,9087,34813,43900
2025-01-06,13594,44226,57820
2025-01-07,16697,48985,65682
2025-01-08,13053,38749,51802
2025-01-09,12718,38595,51313
2025-01-10,13291,36068,49359
2025-01-11,10927,40622,51549
2025-01-12,14700,48749,63449
2025-01-13,30518,77204,107722
2025-01-14,23614,64284,87898
