date,desktop,mobile,total
2024-08-09,177,94,271
2024-08-10,134,186,320
2024-08-11,228,185,413
2024-08-12,562,557,1119
2024-08-13,395,570,965
2024-08-14,391,522,913
2024-08-15,388,533,921
2024-08-16,330,522,852
2024-08-17,232,374,606
2024-08-18,310,440,750
2024-08-19,324,396,720
2024-08-20,411,354,765
2024-08-21,310,322,632
2024-08-22,330,354,684
2024-08-23,289,413,702
2024-08-24,241,394,635
2024-08-25,246,423,669
2024-08-26,313,553,866
2024-08-27,356,688,1044
2024-08-28,254,365,619
2024-08-29,369,420,789
2024-08-30,295,578,873
2024-08-31,324,647,971
2024-09-01,303,607,910
2024-09-02,393,562,955
2024-09-03,379,480,859
2024-09-04,312,427,739
2024-09-05,348,471,819
2024-09-06,293,407,700
2024-09-07,248,450,698
2024-09-08,264,482,746
2024-09-09,343,470,813
2024-09-10,288,369,657
2024-09-11,279,443,722
2024-09-12,307,513,820
2024-09-13,340,502,842
2024-09-14,360,634,994
2024-09-15,399,693,1092
2024-09-16,449,670,1119
2024-09-17,417,718,1135
2024-09-18,520,1037,1557
2024-09-19,557,1328,1885
2024-09-20,1297,2917,4214
2024-09-21,844,2211,3055
2024-09-22,752,1974,2726
2024-09-23,740,1386,2126
2024-09-24,671,1214,1885
2024-09-25,586,1145,1731
2024-09-26,624,1154,1778
2024-09-27,536,1006,1542
2024-09-28,534,1184,1718
2024-09-29,576,1277,1853
2024-09-30,585,1141,1726
2024-10-01,1801,2419,4220
2024-10-02,1237,2165,3402
2024-10-03,1148,1977,3125
2024-10-04,926,1956,2882
2024-10-05,961,2067,3028
2024-10-06,888,1907,2795
2024-10-07,994,1781,2775
2024-10-08,1276,1946,3222
2024-10-09,1301,1896,3197
2024-10-10,1127,1751,2878
2024-10-11,1027,1621,2648
2024-10-12,1088,1836,2924
2024-10-13,1008,1917,2925
2024-10-14,1033,1832,2865
2024-10-15,831,1646,2477
2024-10-16,853,1568,2421
2024-10-17,977,1657,2634
2024-10-18,823,1629,2452
2024-10-19,854,1763,2617
2024-10-20,927,1857,2784
2024-10-21,949,1596,2545
2024-10-22,977,1672,2649
2024-10-23,944,1618,2562
2024-10-24,814,1548,2362
2024-10-25,836,1463,2299
2024-10-26,907,1771,2678
2024-10-27,949,1717,2666
2024-10-28,1248,1550,2798
2024-10-29,1371,1799,3170
2024-10-30,1142,1723,2865
2024-10-31,2618,3676,6294
2024-11-01,7053,15267,22320
2024-11-02,4394,12221,16615
2024-11-03,3350,8316,11666
2024-11-04,3214,6520,9734
2024-11-05,2579,5251,7830
2024-11-06,1904,4095,5999
2024-11-07,1712,3849,5561
2024-11-08,1568,3396,4964
2024-11-09,1749,4426,6175
2024-11-10,1528,3600,5128
2024-11-11,1913,3699,5612
2024-11-12,1725,3504,5229
2024-11-13,1567,3482,5049
2024-11-14,1529,3449,4978
2024-11-15,1418,3070,4488
2024-11-16,1500,4027,5527
2024-11-17,1357,3581,4938
2024-11-18,1402,3011,4413
2024-11-19,1364,2767,4131
2024-11-20,1448,3023,4471
2024-11-21,1343,2790,4133
2024-11-22,1275,2856,4131
2024-11-23,1401,3300,4701
2024-11-24,1467,3940,5407
2024-11-25,1843,3506,5349
2024-11-26,1839,3515,5354
2024-11-27,3908,7131,11039
2024-11-28,3045,5233,8278
2024-11-29,2610,5479,8089
2024-11-30,1857,4633,6490
2024-12-01,2325,4983,7308
2024-12-02,2542,4724,7266
2024-12-03,2550,4450,7000
2024-12-04,2294,4352,6646
2024-12-05,3821,8036,11857
2024-12-06,3128,7803,10931
2024-12-07,2474,7905,10379
2024-12-08,2438,8403,10841
2024-12-09,4170,9625,13795
2024-12-10,3313,8696,12009
2024-12-11,3111,7676,10787
2024-12-12,2851,6661,9512
2024-12-13,3783,6845,10628
2024-12-14,3270,7504,10774
2024-12-15,3093,8827,11920
2024-12-16,4660,8176,12836
2024-12-17,3706,9106,12812
2024-12-18,4040,9755,13795
2024-12-19,4315,10840,15155
2024-12-20,4979,13907,18886
2024-12-21,4100,14023,18123
2024-12-22,4932,16710,21642
2024-12-23,7139,18427,25566
2024-12-24,8961,26298,35259
2024-12-25,17432,56948,74380
2024-12-26,134337,479020,613357
2024-12-27,174251,661459,835710
2024-12-28,133927,616111,750038
2024-12-29,113837,556274,670111
2024-12-30,107026,451486,558512
2024-12-31,79089,339418,418507
2025-01-01,73459,345159,418618
2025-01-02,75361,300760,376121
2025-01-03,67469,267833,335302
2025-01-04,55037,249861,304898
2025-01-05,53133,234694,287827
2025-01-06,53343,190260,243603
2025-01-07,47754,166713,214467
2025-01-08,43036,146140,189176
2025-01-09,38836,126247,165083
2025-01-10,35727,119202,154929
2025-01-11,32971,120909,153880
2025-01-12,31575,114312,145887
2025-01-13,30400,86567,116967
2025-01-14,26730,75398,102128
